"dataset","esn","unit","flight_cycle","datetime","operator","depart_icao","destination_icao","hpc_eff_mod","hpc_flow_mod","tra","t2","t24","t30","t50","p2","p15","p30","nf","nc","epr","ps30","phi","nrf","nrc","bpr","farb","htbleed","nf_dmd","pcnfr_dmd","w31","w32"
test_FD001,999126,26,11,2018-01-05 06:53:33,AXM,WSSS,VTBD,-0.0004,0.0006,100,518.67,642.08,1589.42,1396.55,14.62,21.61,554.76,2388.02,9069.76,1.3,47.23,522.59,2387.98,8150.18,8.4049,0.03,391,2388,100,38.97,23.3776
test_FD001,999126,26,12,2018-01-05 17:29:39,AXM,VTBD,VTUV,-0.0004,0.0004,100,518.67,642.18,1588.16,1403.47,14.62,21.61,554.32,2388.03,9067.01,1.3,47.33,522.33,2388.07,8147.46,8.3946,0.03,392,2388,100,39.1,23.377
test_FD001,999126,26,13,2018-01-06 04:49:00,AXM,VTSP,VTBD,-0.0023,0.0005,100,518.67,642.81,1585.6,1393.8,14.62,21.61,554.6,2387.99,9065.86,1.3,47.44,522.34,2388.04,8149.42,8.4286,0.03,392,2388,100,38.95,23.4127
test_FD001,999126,26,14,2018-01-06 16:44:09,AXM,VTBD,VHHH,-0.0016,0.0007,100,518.67,642.1,1593.79,1396.91,14.62,21.61,553.99,2388.06,9068.61,1.3,47.27,521.95,2388.02,8151.12,8.405,0.03,393,2388,100,38.96,23.3919
test_FD001,999126,26,15,2018-01-07 17:43:45,AXM,VTBD,VHHH,-0.0018,0.0002,100,518.67,642.13,1589.31,1401.61,14.62,21.61,553.48,2388.03,9060.41,1.3,47.26,521.32,2388.03,8145.04,8.3756,0.03,391,2388,100,38.97,23.3813
test_FD001,999126,26,16,2018-01-07 18:17:36,AXM,VTBD,WMKK,-0.0011,0.0005,100,518.67,642.53,1578.82,1399.52,14.62,21.61,554.2,2388.06,9063.53,1.3,47.27,522.22,2388.02,8144.46,8.4132,0.03,394,2388,100,38.88,23.3748
test_FD001,999126,26,17,2018-01-07 21:26:22,AXM,WMKK,VTBD,0.0001,0.0005,100,518.67,642.27,1582.21,1400.82,14.62,21.61,554.34,2388.02,9057.42,1.3,47.35,522.27,2388,8141.5,8.4239,0.03,392,2388,100,38.81,23.3975
test_FD001,999126,26,18,2018-01-08 00:20:54,AXM,VTBD,VTSP,-0.0025,-0.0003,100,518.67,642.18,1584.53,1398.85,14.62,21.61,554.12,2388.04,9058.43,1.3,47.22,522.34,2388.07,8141.75,8.4074,0.03,392,2388,100,38.89,23.3051
test_FD001,999126,26,19,2018-01-08 03:13:00,AXM,VTBD,WSSS,-0.0009,0.0003,100,518.67,642.38,1585.19,1403.01,14.62,21.61,554.07,2388.04,9066.14,1.3,47.11,521.76,2388.09,8144.72,8.4026,0.03,392,2388,100,38.99,23.3975
test_FD001,999126,26,20,2018-01-08 04:24:28,AXM,VTBD,WSSS,0.0006,-0.0002,100,518.67,642.47,1590.47,1402.28,14.62,21.61,554.83,2387.96,9067.08,1.3,47.43,522.19,2388.02,8139.8,8.3919,0.03,393,2388,100,38.98,23.3251
test_FD001,999126,26,21,2018-01-08 06:23:39,AXM,WSSS,,0.0001,0.0001,100,518.67,642.19,1583.05,1401.42,14.62,21.61,555.1,2388,9062.14,1.3,47.47,521.92,2388.03,8146.23,8.366,0.03,392,2388,100,38.88,23.3341
test_FD001,999126,26,22,2018-01-08 19:41:00,AXM,VMMC,VTBD,0.0035,0.0003,100,518.67,642.11,1584.51,1398.33,14.62,21.61,554.39,2388.02,9068.31,1.3,47.32,522.37,2388.02,8144.67,8.4137,0.03,391,2388,100,39.12,23.3945
test_FD001,999126,26,23,2018-01-08 23:26:00,AXM,VTBD,VTST,-0.0012,0.0005,100,518.67,641.58,1587.77,1403.87,14.62,21.61,554.9,2387.99,9060.32,1.3,47.43,521.91,2388.02,8142.37,8.401,0.03,392,2388,100,38.91,23.4
test_FD001,999126,26,24,2018-01-09 01:17:00,AXM,VTST,VTBD,0.0007,0.0001,100,518.67,642.31,1588.71,1394.77,14.62,21.61,554.65,2388.04,9062.8,1.3,47.33,521.76,2388.06,8146.57,8.3947,0.03,393,2388,100,39.03,23.5177
test_FD001,999126,26,25,2018-01-09 03:55:22,AXM,VTBD,VTSS,0.0019,-0.0003,100,518.67,641.99,1586.16,1396.56,14.62,21.61,554.22,2388.01,9058.3,1.3,47.31,522.12,2387.99,8145.4,8.4108,0.03,392,2388,100,38.99,23.3162
test_FD001,999126,26,26,2018-01-09 05:34:00,AXM,VTSS,VTBD,0.0002,-0.0002,100,518.67,642.71,1587.66,1402.97,14.62,21.61,554.19,2388.05,9062.86,1.3,47.15,521.37,2388.03,8144.46,8.4198,0.03,394,2388,100,38.81,23.3262
test_FD001,999126,26,27,2018-01-09 08:07:44,AXM,VTBD,VOTR,-0.0024,0,100,518.67,642.29,1576.63,1396.62,14.62,21.61,553.85,2388.01,9066.46,1.3,47.35,521.35,2388.03,8141.62,8.4035,0.03,391,2388,100,39.07,23.3092
test_FD001,999114,14,1,2017-12-31 21:15:45,AXM,VMMC,WMKK,0.0023,0.0001,100,518.67,642.66,1585.63,1412.935,14.62,21.61,553.49,2388.13,9034.75,1.3,47.5,521.01,2388.18,8122.18,8.4474,0.03,394,2388,100,38.77,23.3023
test_FD001,999114,14,2,2018-01-01 02:47:42,AXM,WMKP,WMKK,-0.0031,0.0001,100,518.67,642.85,1591.89,1405.96,14.62,21.61,553.45,2388.09,9037.35,1.3,47.65,521.2,2388.17,8115.33,8.449,0.03,392,2388,100,38.82,23.3449
test_FD001,999114,14,3,2018-01-01 16:33:50,AXM,WMKK,VMMC,0.0009,0.0005,100,518.67,643.03,1589.22,1407.19,14.62,21.61,552.99,2388.15,9031.63,1.3,47.56,521.08,2388.16,8117.65,8.4592,0.03,393,2388,100,38.94,23.2735
test_FD001,999114,14,4,2018-01-01 17:34:32,AXM,WMKK,WMKK,0.0028,-0.0004,100,518.67,642.9,1584.64,1403.72,14.62,21.61,553.16,2388.12,9040.34,1.3,47.53,521.58,2388.19,8118.45,8.4591,0.03,394,2388,100,38.79,23.3108
test_FD001,999114,14,5,2018-01-01 20:33:01,AXM,,WMKK,-0.0025,0.0002,100,518.67,642.45,1587.82,1407.75,14.62,21.61,553.15,2388.13,9033.48,1.3,47.44,521.56,2388.16,8118.83,8.4587,0.03,392,2388,100,38.75,23.2673
test_FD001,999114,14,6,2018-01-01 23:33:08,AXM,WMKK,VTCC,0.0005,-0.0001,100,518.67,642.68,1593.77,1409.05,14.62,21.61,552.51,2388.15,9041.85,1.3,47.46,521.91,2388.07,8115.64,8.4539,0.03,392,2388,100,38.88,23.2834
test_FD001,999114,14,7,2018-01-02 02:44:19,AXM,VTCC,WMKK,-0.0007,-0.0005,100,518.67,642.96,1588.25,1409.93,14.62,21.61,553.62,2388.2,9035.1,1.3,47.52,520.54,2388.18,8114.73,8.4362,0.03,394,2388,100,39,23.1876
test_FD001,999114,14,8,2018-01-02 06:15:02,AXM,WMKK,WMKC,-0.0005,0.0001,100,518.67,642.61,1585.86,1401.01,14.62,21.61,553.26,2388.12,9034.87,1.3,47.64,521.58,2388.2,8111.3,8.412,0.03,393,2388,100,38.9,23.3255
test_FD001,999114,14,9,2018-01-02 07:37:03,AXM,WMKC,WMKK,-0.0025,0.0002,100,518.67,642.71,1593.64,1410.98,14.62,21.61,552.9,2388.13,9033.47,1.3,47.61,521.65,2388.15,8119.6,8.4201,0.03,394,2388,100,38.74,23.2362
test_FD001,999114,14,10,2018-01-02 17:34:54,AXM,WMKK,,0.0021,0.0001,100,518.67,642.88,1594.13,1403.33,14.62,21.61,553.56,2388.16,9029.72,1.3,47.31,521.34,2388.19,8114.65,8.4436,0.03,392,2388,100,38.9,23.3185
test_FD001,999114,14,11,2018-01-03 18:08:22,AXM,WMKK,VVTS,0.0026,-0.0003,100,518.67,642.34,1591.46,1409.49,14.62,21.61,552.84,2388.16,9033.43,1.3,47.54,521.11,2388.15,8112.19,8.4345,0.03,393,2388,100,38.94,23.3401
test_FD001,999114,14,12,2018-01-03 21:04:47,AXM,VVTS,WMKK,0,-0.0003,100,518.67,642.9,1584.18,1408.16,14.62,21.61,552.53,2388.11,9041.8,1.3,47.5,521.04,2388.14,8116.15,8.4495,0.03,392,2388,100,38.63,23.2494
test_FD001,999114,14,13,2018-01-04 07:24:04,AXM,WBKK,WMKK,-0.0015,-0.0004,100,518.67,642.98,1594.49,1410.3400000000001,14.62,21.61,552.99,2388.18,9046.86,1.3,47.58,521.48,2388.1,8121.35,8.4534,0.03,392,2388,100,38.74,23.2864
test_FD001,999114,14,14,2018-01-04 16:44:26,AXM,WMKK,VHHH,0.0019,-0.0001,100,518.67,642.49,1588.04,1409.69,14.62,21.61,553.97,2388.12,9032.93,1.3,47.47,521.12,2388.12,8121.04,8.4402,0.03,394,2388,100,38.76,23.4023
test_FD001,999114,14,15,2018-01-04 22:00:57,AXM,VHHH,WMKK,-0.0008,-0.0002,100,518.67,642.85,1589.43,1410.12,14.62,21.61,552.78,2388.17,9038.79,1.3,47.6,521.24,2388.15,8123.16,8.46,0.03,395,2388,100,38.73,23.3208
test_FD001,999114,14,16,2018-01-05 01:32:00,AXM,WMKK,VHHH,-0.0036,0.0002,100,518.67,642.72,1587.9,1407.33,14.62,21.61,552.54,2388.19,9038.49,1.3,47.45,521.72,2388.15,8118.39,8.427,0.03,394,2388,100,38.87,23.3774
test_FD001,999114,14,17,2018-01-05 02:49:18,AXM,WMKK,VHHH,0.0002,-0.0001,100,518.67,642.04,1587.17,1410.69,14.62,21.61,553.28,2388.14,9039.3,1.3,47.59,520.73,2388.18,8117.37,8.4416,0.03,393,2388,100,38.61,23.2945
test_FD001,999114,14,18,2018-01-05 17:08:00,AXM,WMKK,WBKW,0.0007,0.0002,100,518.67,642.54,1586.36,1410.33,14.62,21.61,553.62,2388.15,9035.36,1.3,47.67,520.95,2388.18,8118.14,8.4765,0.03,393,2388,100,38.77,23.1997
test_FD001,999114,14,19,2018-01-05 21:20:00,AXM,WBKW,WMKK,-0.0022,0.0001,100,518.67,642.97,1592.79,1402.22,14.62,21.61,553.11,2388.16,9046.84,1.3,47.63,521.33,2388.16,8119.51,8.4476,0.03,392,2388,100,38.84,23.254
test_FD001,999114,14,20,2018-01-06 00:49:00,AXM,WMKK,VTCC,0.0043,0.0002,100,518.67,642.84,1589.02,1408.16,14.62,21.61,552.86,2388.11,9041.2,1.3,47.47,520.9,2388.14,8119.25,8.4431,0.03,393,2388,100,38.83,23.3035
test_FD001,999114,14,21,2018-01-06 02:09:25,AXM,WMKK,VTCC,-0.0026,0.0004,100,518.67,642.62,1594.25,1412.005,14.62,21.61,553.62,2388.16,9040.33,1.3,47.49,520.94,2388.09,8120.8,8.449,0.03,393,2388,100,38.98,23.3165
test_FD001,999114,14,22,2018-01-06 05:29:48,AXM,VTCC,WMKK,-0.0004,-0.0002,100,518.67,642.74,1591.32,1405.28,14.62,21.61,554,2388.21,9040.78,1.3,47.43,521.09,2388.2,8118.83,8.4596,0.03,393,2388,100,38.84,23.232
test_FD001,999114,14,23,2018-01-06 21:26:38,AXM,WMKK,RCKH,0.0008,0.0002,100,518.67,642.67,1592.29,1402.81,14.62,21.61,552.48,2388.11,9053.89,1.3,47.76,521.43,2388.12,8119.7,8.4227,0.03,393,2388,100,38.83,23.2947
test_FD001,999114,14,24,2018-01-07 02:22:01,AXM,RCKH,WMKK,-0.0005,0,100,518.67,642.55,1590.97,1404.42,14.62,21.61,552.53,2388.13,9034.43,1.3,47.63,521.79,2388.14,8119.1,8.4379,0.03,393,2388,100,38.71,23.2996
test_FD001,999114,14,25,2018-01-07 19:17:00,AXM,VYYY,WMKK,0.0047,0.0004,100,518.67,642.56,1586.48,1403.99,14.62,21.61,553.32,2388.16,9040.89,1.3,47.62,521.71,2388.17,8115.83,8.4079,0.03,392,2388,100,38.85,23.2271
test_FD001,999114,14,26,2018-01-07 19:36:10,AXM,,,0.0029,0,100,518.67,642.91,1590.38,1408.85,14.62,21.61,552.86,2388.11,9044.52,1.3,47.63,521,2388.16,8119.63,8.4616,0.03,393,2388,100,38.95,23.2935
test_FD001,999114,14,27,2018-01-07 22:37:00,AXM,WMKK,VTSG,-0.0034,0.0005,100,518.67,642.6,1591.09,1410.3049999999998,14.62,21.61,553.05,2388.18,9038.13,1.3,47.55,521.64,2388.16,8119.81,8.4167,0.03,394,2388,100,38.65,23.1758
test_FD001,999149,49,1,2018-01-01 17:24:16,AXM,WMKK,WBKW,-0.002,-0.0003,100,518.67,642.19,1587.28,1405.05,14.62,21.61,554.28,2387.99,9063.06,1.3,47.37,522.21,2388.02,8139.4,8.3809,0.03,391,2388,100,38.95,23.361
test_FD001,999149,49,2,2018-01-01 20:42:20,AXM,WBKW,WMKK,-0.0003,0.0004,100,518.67,642.06,1582.62,1391.77,14.62,21.61,554.22,2387.99,9057.98,1.3,47.09,522.86,2387.99,8144.25,8.4008,0.03,391,2388,100,39.08,23.4337
test_FD001,999149,49,3,2018-01-02 00:11:42,AXM,WMKK,WIII,-0.0002,-0.0001,100,518.67,641.74,1590.54,1404.73,14.62,21.61,554.44,2387.96,9049.47,1.3,47.27,522.3,2387.99,8139.56,8.4113,0.03,392,2388,100,39.1,23.4173
test_FD001,999149,49,4,2018-01-02 03:16:27,AXM,WIII,WMKK,-0.0001,-0.0002,100,518.67,642.44,1583.66,1398.72,14.62,21.61,553.92,2388.01,9062.51,1.3,47.05,522.69,2387.98,8144.68,8.407,0.03,392,2388,100,38.89,23.3802
test_FD001,999149,49,5,2018-01-02 05:52:50,AXM,WMKK,WIII,0.0021,0.0002,100,518.67,641.91,1590.37,1404.26,14.62,21.61,554.83,2388.02,9059.25,1.3,47.1,523.13,2387.95,8141.34,8.3815,0.03,392,2388,100,39.04,23.3513
test_FD001,999149,49,6,2018-01-02 08:34:03,AXM,WIII,WMKK,-0.0001,0.0003,100,518.67,642.07,1594.91,1395.4,14.62,21.61,554.3,2388.03,9054.92,1.3,47.22,522.15,2387.98,8143.18,8.382,0.03,392,2388,100,38.97,23.4372
train_FD001,999062,62,1,2018-03-01 02:25:50,AXM,WMKK,VHHH,0.0026,0.0001,100,518.67,642.78,1595.36,1410.0549999999998,14.62,21.61,553.33,2388.19,9060.39,1.3,47.6,521.77,2388.15,8139.18,8.4882,0.03,393,2388,100,38.77,23.263
train_FD001,999062,62,2,2018-03-01 07:03:43,AXM,VHHH,WMKK,-0.001,0.0005,100,518.67,642.5,1591.94,1411.0700000000002,14.62,21.61,552.99,2388.12,9060.53,1.3,47.65,521.75,2388.13,8136.55,8.4135,0.03,393,2388,100,38.67,23.3297
train_FD001,999062,62,3,2018-03-01 16:26:54,AXM,WMKK,VYYY,0.0031,0,100,518.67,643.11,1598.06,1410.2849999999999,14.62,21.61,552.63,2388.1,9060.52,1.3,47.59,521.22,2388.06,8134.15,8.4183,0.03,393,2388,100,38.76,23.1726
train_FD001,999062,62,4,2018-03-01 17:33:03,AXM,VYYY,VYYY,-0.0023,-0.0002,100,518.67,642.68,1591.31,1410.655,14.62,21.61,553.47,2388.15,9057.44,1.3,47.5,521.2,2388.11,8137.75,8.4488,0.03,392,2388,100,38.99,23.3329
train_FD001,999062,62,5,2018-03-01 20:35:17,AXM,VYYY,WMKK,-0.0033,0.0004,100,518.67,642.24,1590.59,1410.5149999999999,14.62,21.61,553.95,2388.14,9050.12,1.3,47.62,521.38,2388.05,8140.6,8.4512,0.03,393,2388,100,38.84,23.2909
train_FD001,999062,62,6,2018-03-02 03:08:00,AXM,ZPPP,WMKK,-0.0005,-0.0004,100,518.67,642.25,1590.12,1413.29,14.62,21.61,553.16,2388.15,9056.04,1.3,47.49,521.41,2388.16,8134.03,8.4759,0.03,393,2388,100,38.94,23.2215
train_FD001,999062,62,7,2018-03-02 15:18:00,AXM,WMKK,VHHH,0.0035,-0.0002,100,518.67,642.88,1591.24,1409.62,14.62,21.61,553.99,2388.08,9052.1,1.3,47.62,520.87,2388.12,8133.94,8.4333,0.03,393,2388,100,38.8,23.2969
train_FD001,999062,62,8,2018-03-02 16:32:26,AXM,WMKK,VHHH,0.0029,0.0004,100,518.67,642.47,1584.89,1409.3,14.62,21.61,552.42,2388.05,9056.56,1.3,47.45,521.54,2388.11,8139.77,8.422,0.03,392,2388,100,38.83,23.3676
train_FD001,999062,62,9,2018-03-02 17:33:21,AXM,WMKK,VYYY,0.0017,0.0004,100,518.67,642.2,1592.17,1410.71,14.62,21.61,552.75,2388.15,9056.32,1.3,47.69,521.3,2388.1,8139.22,8.4486,0.03,393,2388,100,38.67,23.2645
train_FD001,999062,62,10,2018-03-02 21:11:07,AXM,VHHH,WMKK,-0.0027,0.0002,100,518.67,642.24,1590.42,1411.585,14.62,21.61,553.03,2388.11,9058.6,1.3,47.83,520.72,2388.12,8138.51,8.4496,0.03,392,2388,100,38.98,23.3147
train_FD001,999062,62,11,2018-03-03 02:21:43,AXM,WMKK,VMMC,-0.0028,0.0003,100,518.67,642.79,1594.87,1412.29,14.62,21.61,553.8,2388.12,9060.09,1.3,47.78,521.03,2388.11,8141.65,8.4785,0.03,394,2388,100,38.88,23.2311
train_FD001,999062,62,12,2018-03-03 06:35:49,AXM,VMMC,WMKK,-0.0014,0.0006,100,518.67,643.09,1590.73,1404.55,14.62,21.61,553.29,2388.12,9058.08,1.3,47.73,521.36,2388.12,8131.41,8.4408,0.03,394,2388,100,38.9,23.3245
train_FD001,999062,62,13,2018-03-03 16:32:49,AXM,WMKK,VHHH,0.0025,-0.0002,100,518.67,642.24,1596.1,1406.87,14.62,21.61,553.31,2388.1,9059.22,1.3,47.76,521.34,2388.12,8139.53,8.4444,0.03,393,2388,100,38.88,23.3163
train_FD001,999062,62,14,2018-03-04 00:43:00,AXM,WMKK,VMMC,-0.0029,-0.0001,100,518.67,642.51,1596.25,1407.3,14.62,21.61,553.49,2388.13,9056.64,1.3,47.59,521.52,2388.13,8136.73,8.442,0.03,395,2388,100,38.83,23.3433
train_FD001,999062,62,15,2018-03-04 02:01:51,AXM,WMKK,VMMC,-0.0039,-0.0001,100,518.67,643.39,1584.8,1409.41,14.62,21.61,552.97,2388.13,9057.27,1.3,47.53,521.22,2388.15,8135.26,8.4477,0.03,394,2388,100,38.8,23.2545
train_FD001,999062,62,16,2018-03-04 06:33:56,AXM,VMMC,WMKK,0.0044,-0.0001,100,518.67,642.64,1593.48,1409.52,14.62,21.61,554.17,2388.13,9055.18,1.3,47.63,521.57,2388.15,8136.9,8.4407,0.03,394,2388,100,38.83,23.2683
train_FD001,999062,62,17,2018-03-04 15:13:00,AXM,WMKK,VHHH,-0.0015,0,100,518.67,642.69,1586.3,1409.73,14.62,21.61,553.62,2388.12,9050.9,1.3,47.47,521.52,2388.06,8131.78,8.4485,0.03,394,2388,100,38.8,23.3059
train_FD001,999062,62,18,2018-03-04 16:29:50,AXM,WMKK,VHHH,-0.0023,0.0004,100,518.67,643.05,1596.44,1410.37,14.62,21.61,553.58,2388.11,9061.54,1.3,47.55,520.98,2388.11,8137.63,8.468,0.03,394,2388,100,38.74,23.2349
train_FD001,999062,62,19,2018-03-04 21:05:32,AXM,VHHH,WMKK,-0.0005,0.0002,100,518.67,642.51,1595.96,1411.685,14.62,21.61,553.01,2388.1,9059.6,1.3,47.62,521.19,2388.06,8137.72,8.4528,0.03,393,2388,100,38.83,23.291
train_FD001,999062,62,20,2018-03-05 01:40:31,AXM,WMKK,VMMC,0.0014,0.0003,100,518.67,642.34,1593,1410.405,14.62,21.61,554.08,2388.1,9057.6,1.3,47.44,520.99,2388.09,8136.21,8.463,0.03,393,2388,100,38.74,23.2814
train_FD001,999062,62,21,2018-03-05 05:25:00,AXM,VMMC,WMKK,-0.0016,-0.0003,100,518.67,643.12,1582.68,1413.0549999999998,14.62,21.61,552.94,2388.1,9060.98,1.3,47.53,521.22,2388.11,8136.29,8.424,0.03,394,2388,100,38.85,23.3831
train_FD001,999062,62,22,2018-03-05 06:41:22,AXM,VMMC,WMKK,-0.0034,0.0002,100,518.67,642.4,1580.85,1412.17,14.62,21.61,553.18,2388.1,9049.71,1.3,47.55,521.41,2388.09,8140.28,8.4255,0.03,393,2388,100,38.78,23.3653
train_FD001,999062,62,23,2018-03-05 15:18:24,AXM,WMKK,ZGGG,0.0019,-0.0004,100,518.67,642.5,1586.58,1411.075,14.62,21.61,553.54,2388.1,9053.41,1.3,47.55,521.33,2388.17,8138.74,8.4696,0.03,394,2388,100,38.62,23.298
train_FD001,999062,62,24,2018-03-05 16:30:15,AXM,WMKK,VHHH,-0.002,0.0002,100,518.67,642.83,1584.12,1408.3,14.62,21.61,553.08,2388.13,9058.36,1.3,47.67,521.12,2388.14,8134.77,8.4263,0.03,394,2388,100,38.84,23.3222
train_FD001,999062,62,25,2018-03-05 19:10:00,AXM,ZGGG,WMKK,-0.0043,0.0001,100,518.67,642.67,1592.03,1400.45,14.62,21.61,553.63,2388.11,9051.45,1.3,47.78,521.63,2388.17,8133.82,8.4582,0.03,394,2388,100,38.83,23.205
train_FD001,999062,62,26,2018-03-05 20:24:40,AXM,ZGGG,WMKK,0.0013,0.0001,100,518.67,642.91,1590.54,1402.89,14.62,21.61,553.11,2388.05,9066.16,1.3,47.63,521.17,2388.16,8136.77,8.421,0.03,393,2388,100,38.78,23.2184
train_FD001,999062,62,27,2018-03-06 01:06:00,AXM,WMKK,ZGGG,-0.0031,0.0001,100,518.67,643.17,1597.46,1410.845,14.62,21.61,552.85,2388.14,9053.27,1.3,47.54,520.97,2388.13,8135.27,8.4886,0.03,394,2388,100,38.7,23.1645
train_FD001,999026,26,1,2018-04-20 01:32:00,AXM,VDSV,WMKK,-0.002,-0.0005,100,518.67,642.45,1585.95,1408.63,14.62,21.61,554.24,2388.14,9054.26,1.3,47.53,521.35,2388.13,8130,8.4364,0.03,392,2388,100,38.79,23.2569
train_FD001,999026,26,2,2018-04-20 01:41:16,AXM,VDSV,WMKK,0.0056,0.0004,100,518.67,642.6,1593.05,1414.1399999999999,14.62,21.61,553.28,2388.13,9049.17,1.3,47.49,521.03,2388.16,8128.34,8.4826,0.03,393,2388,100,38.66,23.3776
train_FD001,999026,26,3,2018-04-20 04:28:55,AXM,WMKK,WBKL,-0.0029,0.0002,100,518.67,642.7,1585.84,1405.19,14.62,21.61,553.68,2388.07,9054.98,1.3,47.53,520.6,2388.09,8131.59,8.4811,0.03,390,2388,100,38.86,23.3555
test_FD001,999149,49,7,2018-01-03 03:35:42,AXM,WMKK,WBKL,0.001,0.0003,100,518.67,642.11,1578,1393.43,14.62,21.61,554.06,2387.98,9070.76,1.3,47.1,522.16,2387.97,8145.68,8.39,0.03,391,2388,100,39.11,23.4216
test_FD001,999149,49,8,2018-01-03 06:22:42,AXM,WBKL,WMKK,-0.002,0.0002,100,518.67,642.35,1573.73,1393.78,14.62,21.61,554.55,2388.05,9061.65,1.3,46.96,521.83,2388,8141.98,8.403,0.03,392,2388,100,39.14,23.3938
test_FD001,999149,49,9,2018-01-04 21:30:02,AXM,WMKK,WBGS,-0.0013,-0.0001,100,518.67,642,1588.32,1397.58,14.62,21.61,554.74,2388.01,9068.47,1.3,47.16,522.31,2388.05,8141.53,8.3863,0.03,391,2388,100,38.9,23.4746
test_FD001,999149,49,10,2018-01-04 23:47:22,AXM,WBGS,WMKK,0.0029,0.0003,100,518.67,642.76,1579.73,1397.17,14.62,21.61,554.89,2387.98,9059.61,1.3,47.02,522.14,2388,8143.19,8.3797,0.03,392,2388,100,39.06,23.3656
test_FD001,999149,49,11,2018-01-05 02:33:30,AXM,WMKK,WBKK,-0.0016,0.0005,100,518.67,641.48,1582.8,1400.83,14.62,21.61,555.16,2387.97,9054.68,1.3,47.13,522.65,2388.02,8146.72,8.4036,0.03,392,2388,100,39.07,23.3072
test_FD001,999149,49,12,2018-01-05 04:28:00,AXM,WBKK,WMKK,0.001,0.0005,100,518.67,642.28,1588.86,1397.71,14.62,21.61,554.23,2387.96,9055.62,1.3,47.3,521.95,2388.02,8145.74,8.4351,0.03,391,2388,100,39.09,23.5481
test_FD001,999149,49,13,2018-01-05 05:38:31,AXM,WBKK,WMKK,0.0049,0.0001,100,518.67,642.39,1584.6,1399,14.62,21.61,554.69,2388,9062.16,1.3,47.34,521.99,2387.99,8144.38,8.4057,0.03,393,2388,100,38.96,23.3946
test_FD001,999149,49,14,2018-01-05 07:30:00,AXM,WMKK,WMKP,-0.0001,-0.0003,100,518.67,642.5,1580.46,1398.79,14.62,21.61,554.58,2388.01,9057.96,1.3,47.15,522.28,2388.04,8147.73,8.356,0.03,391,2388,100,38.88,23.4957
